,Album,Artist,Metascore,User Score,Release Date,Summary,Link to Album Page,Link to Artist Page,Publisher,Link to Publisher Page,Album Cover Image,Album Genres,No. of Critic Reviews,Link to Critic Reviews,No. of User Reviews,Link to User Reviews,Link to more Details and Album Credits,Amazon Link
35,We're All Alone In This Together,Dave,92,8.8,"July 23, 2021","The second full-length studio release for the British rapper features guest appearances from Snoh Aalegra, James Blake, Boj, Stormzy, and WizKid.",https://www.metacritic.com/music/were-all-alone-in-this-together/dave,https://www.metacritic.com/person/dave,N/A,['https://www.metacritic.com/company/na'],N/A,"Genre(s): 
Rap",11,https://www.metacritic.com/music/were-all-alone-in-this-together/dave/critic-reviews,98 Ratings,https://www.metacritic.com/music/were-all-alone-in-this-together/dave/user-reviews,https://www.metacritic.com/music/were-all-alone-in-this-together/dave/details,https://www.amazon.com/dp/B098TMBGVB%3Ftag%3Dmetacritic-music-20%26linkCode%3Dosi%26th%3D1%26psc%3D1
36,Titanic Rising,Weyes Blood,91,9.1,"April 5, 2019",The fourth full-length release for Natalie Mering was co-produced with Foxygen's Jonathan Rado.,https://www.metacritic.com/music/titanic-rising/weyes-blood,https://www.metacritic.com/person/weyes-blood,Sub Pop,['https://www.metacritic.com/company/sub-pop'],Sub Pop,"Genre(s): 
Pop/Rock
Alternative/Indie Rock",26,https://www.metacritic.com/music/titanic-rising/weyes-blood/critic-reviews,419 Ratings,https://www.metacritic.com/music/titanic-rising/weyes-blood/user-reviews,https://www.metacritic.com/music/titanic-rising/weyes-blood/details,https://www.amazon.com/Titanic-Rising-Weyes-Blood/dp/B07NPBXJ85?SubscriptionId=AKIAJHSMUOWEQCQ7QDAQ&tag=metacritic-music-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07NPBXJ85
37,Carnage,Nick Cave & Warren Ellis,91,7.8,"February 25, 2021",The surprise release for the latest full-length collaboration between Nick Cave and Warren Ellis was recorded over a week.,https://www.metacritic.com/music/carnage/nick-cave-warren-ellis,https://www.metacritic.com/person/nick-cave-warren-ellis,N/A,['https://www.metacritic.com/company/na'],N/A,"Genre(s): 
Pop/Rock",21,https://www.metacritic.com/music/carnage/nick-cave-warren-ellis/critic-reviews,71 Ratings,https://www.metacritic.com/music/carnage/nick-cave-warren-ellis/user-reviews,https://www.metacritic.com/music/carnage/nick-cave-warren-ellis/details,https://www.amazon.com/dp/B08W7LW4KG%3FSubscriptionId%3DAKIAJHSMUOWEQCQ7QDAQ%26tag%3Dmetacritic-music-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB08W7LW4KG
38,Melodrama,Lorde,91,8.9,"June 16, 2017",The second full-length release for the New Zealand pop singer-songwriter was produced with Jack Antonoff.,https://www.metacritic.com/music/melodrama/lorde,https://www.metacritic.com/person/lorde,Republic,['https://www.metacritic.com/company/republic'],Republic,"Genre(s): 
Pop/Rock",32,https://www.metacritic.com/music/melodrama/lorde/critic-reviews,4324 Ratings,https://www.metacritic.com/music/melodrama/lorde/user-reviews,https://www.metacritic.com/music/melodrama/lorde/details,http://www.amazon.com/dp/B06XH924LG%3FSubscriptionId%3DAKIAJHSMUOWEQCQ7QDAQ%26tag%3Dmetacritic-music-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB06XH924LG
39,Speakerboxxx/The Love Below,Outkast,91,8.7,"September 23, 2003","This Grammy-winning follow-up to their smash 2000 hit 'Stankonia' is an OutKast album in name only, as it is structured in the form of two solo discs: one each for Big Boi (Speakerboxxx) and Andre 3000 (The Love Below).",https://www.metacritic.com/music/speakerboxxxthe-love-below/outkast,https://www.metacritic.com/person/outkast,La Face,['https://www.metacritic.com/company/la-face'],La Face,"Genre(s): 
Rap",26,https://www.metacritic.com/music/speakerboxxxthe-love-below/outkast/critic-reviews,393 Ratings,https://www.metacritic.com/music/speakerboxxxthe-love-below/outkast/user-reviews,https://www.metacritic.com/music/speakerboxxxthe-love-below/outkast/details,
40,Set My Heart on Fire Immediately,Perfume Genius,91,8.5,"May 15, 2020",The fifth full-length release for Mike Hadreas as Perfume Genius was produced with Blake Mills.,https://www.metacritic.com/music/set-my-heart-on-fire-immediately/perfume-genius,https://www.metacritic.com/person/perfume-genius,Matador,['https://www.metacritic.com/company/matador'],Matador,"Genre(s): 
Pop/Rock",25,https://www.metacritic.com/music/set-my-heart-on-fire-immediately/perfume-genius/critic-reviews,180 Ratings,https://www.metacritic.com/music/set-my-heart-on-fire-immediately/perfume-genius/user-reviews,https://www.metacritic.com/music/set-my-heart-on-fire-immediately/perfume-genius/details,https://www.amazon.com/dp/B0851M9L5H%3FSubscriptionId%3DAKIAJHSMUOWEQCQ7QDAQ%26tag%3Dmetacritic-music-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB0851M9L5H
41,Red (Taylor's Version),Taylor Swift,91,9.2,"November 12, 2021","The new recording of Taylor Swift's fourth studio album features nine previously unreleased songs that include guest appearances from Phoebe Bridgers, Ed Sheeran, and Chris Stapleton.",https://www.metacritic.com/music/red-taylors-version/taylor-swift,https://www.metacritic.com/person/taylor-swift,Republic,['https://www.metacritic.com/company/republic'],Republic,"Genre(s): 
Pop/Rock",16,https://www.metacritic.com/music/red-taylors-version/taylor-swift/critic-reviews,2373 Ratings,https://www.metacritic.com/music/red-taylors-version/taylor-swift/user-reviews,https://www.metacritic.com/music/red-taylors-version/taylor-swift/details,https://www.amazon.com/dp/B09BY285F9?tag=metacritic-music-20&linkCode=osi&th=1&psc=1
42,"Home, Like Noplace Is There",The Hotelier,91,8.4,"February 25, 2014",This is the second full-length release for the Massachusetts indie rock quartet formerly known as The Hotel Year.,https://www.metacritic.com/music/home-like-noplace-is-there/the-hotelier,https://www.metacritic.com/person/the-hotelier,Tiny Engines,['https://www.metacritic.com/company/tiny-engines'],Tiny Engines,"Genre(s): 
Pop/Rock",8,https://www.metacritic.com/music/home-like-noplace-is-there/the-hotelier/critic-reviews,60 Ratings,https://www.metacritic.com/music/home-like-noplace-is-there/the-hotelier/user-reviews,https://www.metacritic.com/music/home-like-noplace-is-there/the-hotelier/details,http://www.amazon.com/dp/B00IDKB8GO%3FSubscriptionId%3DAKIAJHSMUOWEQCQ7QDAQ%26tag%3Dmetacritic-music-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB00IDKB8GO
43,"Good Kid, M.A.A.D City",Kendrick Lamar,91,8.9,"October 22, 2012","The official major label debut studio album for the Compton rapper features guest appearances from Dr. Dre, Drake, Jay Rock, And MC Eiht.",https://www.metacritic.com/music/good-kid-maad-city/kendrick-lamar,https://www.metacritic.com/person/kendrick-lamar,Aftermath Records,['https://www.metacritic.com/company/aftermath-records'],Aftermath Records,"Genre(s): 
Rap",36,https://www.metacritic.com/music/good-kid-maad-city/kendrick-lamar/critic-reviews,2140 Ratings,https://www.metacritic.com/music/good-kid-maad-city/kendrick-lamar/user-reviews,https://www.metacritic.com/music/good-kid-maad-city/kendrick-lamar/details,http://www.amazon.com/Good-Kid-M-A-A-D-Kendrick-Lamar/dp/B0090X4HES%3FSubscriptionId%3DAKIAJHSMUOWEQCQ7QDAQ%26tag%3Dmetacritic-music-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB0090X4HES
44,A Grand Don't Come For Free,The Streets,91,7.9,"May 18, 2004","Mike Skinner returns with the inenviable job of following up his genre-smashing debut 'Original Pirate Material,' which was an enormous critical and commercial hit in the UK and paved the way for the success of later acts such as Dizzee Rascal.",https://www.metacritic.com/music/a-grand-dont-come-for-free/the-streets,https://www.metacritic.com/person/the-streets,Vice / 679,['https://www.metacritic.com/company/vice-679'],Vice / 679,"Genre(s): 
Electronic
Rap",30,https://www.metacritic.com/music/a-grand-dont-come-for-free/the-streets/critic-reviews,225 Ratings,https://www.metacritic.com/music/a-grand-dont-come-for-free/the-streets/user-reviews,https://www.metacritic.com/music/a-grand-dont-come-for-free/the-streets/details,
45,The Myth of the Happily Ever After,Biffy Clyro,91,7.8,"October 22, 2021",The latest full-length release for the Scottish alternative rock band was produced with Adam Noble.,https://www.metacritic.com/music/the-myth-of-the-happily-ever-after/biffy-clyro,https://www.metacritic.com/person/biffy-clyro,Warner Records,['https://www.metacritic.com/company/warner-records'],Warner Records,"Genre(s): 
Pop/Rock",8,https://www.metacritic.com/music/the-myth-of-the-happily-ever-after/biffy-clyro/critic-reviews,47 Ratings,https://www.metacritic.com/music/the-myth-of-the-happily-ever-after/biffy-clyro/user-reviews,https://www.metacritic.com/music/the-myth-of-the-happily-ever-after/biffy-clyro/details,https://www.amazon.com/dp/B09FC7J8NZ?tag=metacritic-music-20&linkCode=osi&th=1&psc=1
46,Canto,Los Super Seven,91,7.6,"March 13, 2001","The second release from the Latin-folk supergroup, featuring members of Los Lobos.",https://www.metacritic.com/music/canto/los-super-seven,https://www.metacritic.com/person/los-super-seven,Columbia / Legacy,['https://www.metacritic.com/company/columbia-legacy'],Columbia / Legacy,"Genre(s): 
Folk
Latin",7,https://www.metacritic.com/music/canto/los-super-seven/critic-reviews,17 Ratings,https://www.metacritic.com/music/canto/los-super-seven/user-reviews,https://www.metacritic.com/music/canto/los-super-seven/details,
47,Grey Area,Little Simz,91,8.4,"March 1, 2019",The third full-length release for the British rapper Simbi Ajikawo features a guest appearances from Cleo Sol.,https://www.metacritic.com/music/grey-area/little-simz,https://www.metacritic.com/person/little-simz,Age 101,['https://www.metacritic.com/company/age-101'],Age 101,"Genre(s): 
Rap",15,https://www.metacritic.com/music/grey-area/little-simz/critic-reviews,188 Ratings,https://www.metacritic.com/music/grey-area/little-simz/user-reviews,https://www.metacritic.com/music/grey-area/little-simz/details,https://www.amazon.com/dp/B07LG1CB8R%3FSubscriptionId%3DAKIAJHSMUOWEQCQ7QDAQ%26tag%3Dmetacritic-music-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB07LG1CB8R
48,"Sex, Death & The Infinite Void",Creeper,91,8.0,"July 31, 2020",The second full-length release for the British punk rock band led by Will Gould was produced by Xandy Barry.,https://www.metacritic.com/music/sex-death-the-infinite-void/creeper,https://www.metacritic.com/person/creeper,Roadrunner Records,['https://www.metacritic.com/company/roadrunner-records'],Roadrunner Records,"Genre(s): 
Pop/Rock
Alternative/Indie Rock
Punk Revival",8,https://www.metacritic.com/music/sex-death-the-infinite-void/creeper/critic-reviews,39 Ratings,https://www.metacritic.com/music/sex-death-the-infinite-void/creeper/user-reviews,https://www.metacritic.com/music/sex-death-the-infinite-void/creeper/details,https://www.amazon.com/dp/B0851LJRT6%3FSubscriptionId%3DAKIAJHSMUOWEQCQ7QDAQ%26tag%3Dmetacritic-music-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB0851LJRT6
49,The ArchAndroid,Janelle Monáe,91,8.9,"May 18, 2010","The second full-length album for the singer born in Kansas City is a continuation of the story of Cindi Mayweather, the android introduced in the 2007 EP, ""Metropolis Suite I of IV: The Chase.""",https://www.metacritic.com/music/the-archandroid/janelle-monae,https://www.metacritic.com/person/janelle-monae,Atlantic,['https://www.metacritic.com/company/atlantic'],Atlantic,"Genre(s): 
R&B
Soul",28,https://www.metacritic.com/music/the-archandroid/janelle-monae/critic-reviews,553 Ratings,https://www.metacritic.com/music/the-archandroid/janelle-monae/user-reviews,https://www.metacritic.com/music/the-archandroid/janelle-monae/details,
50,Gold & Grey,Baroness,91,7.4,"June 14, 2019",The fifth full-length release for the hard rock/metal band is the first with new guitarist Gina Gleason (Peter Adams left the band in 2017).,https://www.metacritic.com/music/gold-grey/baroness,https://www.metacritic.com/person/baroness,Abraxan Hymns,['https://www.metacritic.com/company/abraxan-hymns'],Abraxan Hymns,"Genre(s): 
Pop/Rock
Heavy Metal
Progressive Metal
Sludge Metal
Post-Metal",14,https://www.metacritic.com/music/gold-grey/baroness/critic-reviews,124 Ratings,https://www.metacritic.com/music/gold-grey/baroness/user-reviews,https://www.metacritic.com/music/gold-grey/baroness/details,https://www.amazon.com/Gold-Grey-Baroness/dp/B07PJ224GQ?SubscriptionId=AKIAJHSMUOWEQCQ7QDAQ&tag=metacritic-music-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07PJ224GQ
51,Blue Weekend,Wolf Alice,91,8.9,"June 4, 2021",The third full-length release for the British rock band was produced by Markus Dravs.,https://www.metacritic.com/music/blue-weekend/wolf-alice,https://www.metacritic.com/person/wolf-alice,RCA,['https://www.metacritic.com/company/rca'],RCA,"Genre(s): 
Pop/Rock
Alternative/Indie Rock
Alternative Pop/Rock",19,https://www.metacritic.com/music/blue-weekend/wolf-alice/critic-reviews,267 Ratings,https://www.metacritic.com/music/blue-weekend/wolf-alice/user-reviews,https://www.metacritic.com/music/blue-weekend/wolf-alice/details,https://www.amazon.com/dp/B08X6DX87W?tag=metacritic-music-20&linkCode=osi&th=1&psc=1
52,The  Guitar Song,Jamey Johnson,91,8.0,"September 14, 2010","Jamey Johnson's latest album is a 25-track double album with the first half, The Black Album, devoted to dark emotions and the other half, the White Album, devoted to more positive songs.",https://www.metacritic.com/music/the-guitar-song/jamey-johnson,https://www.metacritic.com/person/jamey-johnson,Mercury,['https://www.metacritic.com/company/mercury'],Mercury,"Genre(s): 
Country
Contemporary Country
Outlaw Country",9,https://www.metacritic.com/music/the-guitar-song/jamey-johnson/critic-reviews,28 Ratings,https://www.metacritic.com/music/the-guitar-song/jamey-johnson/user-reviews,https://www.metacritic.com/music/the-guitar-song/jamey-johnson/details,http://www.amazon.com/The-Guitar-Song-Jamey-Johnson/dp/B002J9GITC%3FSubscriptionId%3DAKIAJHSMUOWEQCQ7QDAQ%26tag%3Dmetacritic-music-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB002J9GITC
53,Is This It?,The Strokes,91,9.0,"October 9, 2001","This is the debut album from New York indie-rockers The Strokes, who have been hyped by the British music press following the release of ""The Modern Age"" EP in early 2001. It almost goes without saying, but the group is frequently compared to the Velvet Underground, among others, thanks in part to singer-songwriter Julian Casablancas' Lou Reed-esque vocals.",https://www.metacritic.com/music/is-this-it/the-strokes,https://www.metacritic.com/person/the-strokes,RCA / Rough Trade,['https://www.metacritic.com/company/rca-rough-trade'],RCA / Rough Trade,"Genre(s): 
Rock
Alternative",26,https://www.metacritic.com/music/is-this-it/the-strokes/critic-reviews,693 Ratings,https://www.metacritic.com/music/is-this-it/the-strokes/user-reviews,https://www.metacritic.com/music/is-this-it/the-strokes/details,
54,We Got It From Here...Thank You 4 Your Service,A Tribe Called Quest,91,8.8,"November 11, 2016","Phife Dawg passed away in March 2016 before the final studio release for the rap group that includes guest appearances from such artists as Anderson Paak, Andre 3000, Busta Rhymes, Consequence, Elton John, Talib Kweli, Kendrick Lamar, and Jack White.",https://www.metacritic.com/music/we-got-it-from-herethank-you-4-your-service/a-tribe-called-quest,https://www.metacritic.com/person/a-tribe-called-quest,Epic,['https://www.metacritic.com/company/epic'],Epic,"Genre(s): 
Rap
East Coast Rap
Jazz-Rap",26,https://www.metacritic.com/music/we-got-it-from-herethank-you-4-your-service/a-tribe-called-quest/critic-reviews,330 Ratings,https://www.metacritic.com/music/we-got-it-from-herethank-you-4-your-service/a-tribe-called-quest/user-reviews,https://www.metacritic.com/music/we-got-it-from-herethank-you-4-your-service/a-tribe-called-quest/details,https://www.amazon.com/got-Here-Thank-Your-service/dp/B01LTHY42W%3FSubscriptionId%3DAKIAJHSMUOWEQCQ7QDAQ%26tag%3Dmetacritic-music-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB01LTHY42W
55,From Here We Go Sublime,The Field,90,6.7,"April 3, 2007","This is the full-length debut for Stockholm, Sweden trance producer Axel Willner.",https://www.metacritic.com/music/from-here-we-go-sublime/the-field,https://www.metacritic.com/person/the-field,Kompakt,['https://www.metacritic.com/company/kompakt'],Kompakt,"Genre(s): 
Electronic",14,https://www.metacritic.com/music/from-here-we-go-sublime/the-field/critic-reviews,396 Ratings,https://www.metacritic.com/music/from-here-we-go-sublime/the-field/user-reviews,https://www.metacritic.com/music/from-here-we-go-sublime/the-field/details,
56,Illinois,Sufjan Stevens,90,8.9,"July 5, 2005","The folk singer-songwriter's ambitious attempt to chronicle all 50 states in song continues with this second installment, dedicated to the Prairie State.",https://www.metacritic.com/music/illinois/sufjan-stevens,https://www.metacritic.com/person/sufjan-stevens,Asthmatic Kitty,['https://www.metacritic.com/company/asthmatic-kitty'],Asthmatic Kitty,"Genre(s): 
Indie
Rock
Folk",40,https://www.metacritic.com/music/illinois/sufjan-stevens/critic-reviews,772 Ratings,https://www.metacritic.com/music/illinois/sufjan-stevens/user-reviews,https://www.metacritic.com/music/illinois/sufjan-stevens/details,
57,Carrie & Lowell,Sufjan Stevens,90,8.9,"March 31, 2015","The seventh full-length studio release for the singer-songwriter features contributions from Thomas Bartlett, Sean Carey, Casey Foubert, Ben Lester, Nedelle Torrisi, and Laura Veirs.",https://www.metacritic.com/music/carrie-lowell/sufjan-stevens,https://www.metacritic.com/person/sufjan-stevens,Asthmatic Kitty,['https://www.metacritic.com/company/asthmatic-kitty'],Asthmatic Kitty,"Genre(s): 
Singer/Songwriter
Pop/Rock
Alternative/Indie Rock
Indie Rock
Lo-Fi
Indie Pop
Alternative Singer/Songwriter
Indie Folk
Chamber Pop",40,https://www.metacritic.com/music/carrie-lowell/sufjan-stevens/critic-reviews,577 Ratings,https://www.metacritic.com/music/carrie-lowell/sufjan-stevens/user-reviews,https://www.metacritic.com/music/carrie-lowell/sufjan-stevens/details,http://www.amazon.com/Carrie-Lowell-Sufjan-Stevens/dp/B00S24RSBK%3FSubscriptionId%3DAKIAJHSMUOWEQCQ7QDAQ%26tag%3Dmetacritic-music-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB00S24RSBK
58,Jimmy Lee,Raphael Saadiq,90,5.8,"August 23, 2019","The first full-length release of new material from the R&B artist/producer was inspired by his late brother's struggle with drug addiction and features guest appearances from Rob Bacon, Reverend E. Baker, Ernest Turner, and Daniel J. Watts.",https://www.metacritic.com/music/jimmy-lee/raphael-saadiq,https://www.metacritic.com/person/raphael-saadiq,Columbia,['https://www.metacritic.com/company/columbia'],Columbia,"Genre(s): 
R&B",8,https://www.metacritic.com/music/jimmy-lee/raphael-saadiq/critic-reviews,50 Ratings,https://www.metacritic.com/music/jimmy-lee/raphael-saadiq/user-reviews,https://www.metacritic.com/music/jimmy-lee/raphael-saadiq/details,https://www.amazon.com/Jimmy-Lee-Raphael-Saadiq/dp/B07SVF1N23?SubscriptionId=AKIAJHSMUOWEQCQ7QDAQ&tag=metacritic-music-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07SVF1N23
59,No Cities to Love,Sleater-Kinney,90,8.2,"January 20, 2015","The first release in ten years for the indie rock trio of Carrie Brownstein, Corin Tucker, and Janet Weiss was produced by John Goodmanson.",https://www.metacritic.com/music/no-cities-to-love/sleater-kinney,https://www.metacritic.com/person/sleater-kinney,Sub Pop,['https://www.metacritic.com/company/sub-pop'],Sub Pop,"Genre(s): 
Pop/Rock
Alternative/Indie Rock
Indie Rock",39,https://www.metacritic.com/music/no-cities-to-love/sleater-kinney/critic-reviews,167 Ratings,https://www.metacritic.com/music/no-cities-to-love/sleater-kinney/user-reviews,https://www.metacritic.com/music/no-cities-to-love/sleater-kinney/details,http://www.amazon.com/No-Cities-To-Love-Sleater-Kinney/dp/B00OPMI3N0%3FSubscriptionId%3DAKIAJHSMUOWEQCQ7QDAQ%26tag%3Dmetacritic-music-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB00OPMI3N0
60,Eve,Rapsody,90,8.1,"August 23, 2019","The third full-length studio release for the North Carolina rapper features guest appearances from J. Cole, D'Angelo, GZA, JID, Leikeli47, Mereba], PJ Morton, Queen Latifah, K.Roosevelt, SiR, and Elle Varner.",https://www.metacritic.com/music/eve/rapsody,https://www.metacritic.com/person/rapsody,Jamla,['https://www.metacritic.com/company/jamla'],Jamla,"Genre(s): 
Rap",8,https://www.metacritic.com/music/eve/rapsody/critic-reviews,53 Ratings,https://www.metacritic.com/music/eve/rapsody/user-reviews,https://www.metacritic.com/music/eve/rapsody/details,https://www.amazon.com/dp/B07W5YKR4D%3FSubscriptionId%3DAKIAJHSMUOWEQCQ7QDAQ%26tag%3Dmetacritic-music-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB07W5YKR4D
61,Punisher,Phoebe Bridgers,90,8.9,"June 18, 2020","The second full-length solo release for the singer-songwriter features contributions from Julien Baker, Lucy Dacus, Christian Lee Hutson, Jim Keltner, Warpint's Jenny Lee Lindberg, Blake Mills, Conor Oberst, Bright Eyes' Nathaniel Walcott, and the Yeah Yeah Yeahs' Nick Zinner.",https://www.metacritic.com/music/punisher/phoebe-bridgers,https://www.metacritic.com/person/phoebe-bridgers,Dead Oceans,['https://www.metacritic.com/company/dead-oceans'],Dead Oceans,"Genre(s): 
Pop/Rock",31,https://www.metacritic.com/music/punisher/phoebe-bridgers/critic-reviews,363 Ratings,https://www.metacritic.com/music/punisher/phoebe-bridgers/user-reviews,https://www.metacritic.com/music/punisher/phoebe-bridgers/details,https://www.amazon.com/dp/B086Y1G1T3%3FSubscriptionId%3DAKIAJHSMUOWEQCQ7QDAQ%26tag%3Dmetacritic-music-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB086Y1G1T3
62,Send Them To Coventry [Mixtape],Pa Salieu,90,tbd,"November 13, 2020","The debut mixtape from the British rapper features guest appearances from Mahalia, M1llionz, BackRoad Gee, Boy Boy, Eight9FLY, Lz Dinero, Ni Santora, Shakavellie, and Stizee.",https://www.metacritic.com/music/send-them-to-coventry-mixtape/pa-salieu,https://www.metacritic.com/person/pa-salieu,Warner Records,['https://www.metacritic.com/company/warner-records'],Warner Records,"Genre(s): 
Rap",8,https://www.metacritic.com/music/send-them-to-coventry-mixtape/pa-salieu/critic-reviews,,https://www.metacritic.com/music/send-them-to-coventry-mixtape/pa-salieu/user-reviews,https://www.metacritic.com/music/send-them-to-coventry-mixtape/pa-salieu/details,https://www.amazon.com/dp/B08LXM8MCY%3FSubscriptionId%3DAKIAJHSMUOWEQCQ7QDAQ%26tag%3Dmetacritic-music-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB08LXM8MCY
63,Original Pirate Material,The Streets,90,8.7,"October 22, 2002","This is the debut album by the London garage (or in this case, bedroom) band, which consists solely of 21-year-old Mike Skinner. Whether or not this style of music (very English rapping over garage/house beats) will translate well overseas remains to be seen, but garage (and especially Skinner) is the current flavor of the month with the UK music press.",https://www.metacritic.com/music/original-pirate-material/the-streets,https://www.metacritic.com/person/the-streets,Locked On / Vice,['https://www.metacritic.com/company/locked-on-vice'],Locked On / Vice,"Genre(s): 
Electronic
Rap
Garage",25,https://www.metacritic.com/music/original-pirate-material/the-streets/critic-reviews,170 Ratings,https://www.metacritic.com/music/original-pirate-material/the-streets/user-reviews,https://www.metacritic.com/music/original-pirate-material/the-streets/details,
64,Candi Staton,Candi Staton,90,8.6,"February 24, 2004",This 26-track disc compiles (for the first time on CD) songs from the acclaimed soul singer's 1969-1973 Muscle Shoals period when she recorded for Fame Records--a period that netted her 12 consecutive Billboard R&B hits.,https://www.metacritic.com/music/candi-staton/candi-staton,https://www.metacritic.com/person/candi-staton,Astralwerks,['https://www.metacritic.com/company/astralwerks'],Astralwerks,"Genre(s): 
R&B
Soul",9,https://www.metacritic.com/music/candi-staton/candi-staton/critic-reviews,14 Ratings,https://www.metacritic.com/music/candi-staton/candi-staton/user-reviews,https://www.metacritic.com/music/candi-staton/candi-staton/details,
65,Alice,Tom Waits,90,8.6,"May 7, 2002","One of two Waits releases in May 2002 ('Blood Money' is the other), 'Alice' was originally written as an opera and actually performed live during an 18-month engagement in Hamburg in the early 1990s. However, this is the first recording of these 15 tracks, culled from recent studio sessions.",https://www.metacritic.com/music/alice/tom-waits,https://www.metacritic.com/person/tom-waits,Epitaph / Anti-,['https://www.metacritic.com/company/epitaph-anti-'],Epitaph / Anti-,"Genre(s): 
Rock",20,https://www.metacritic.com/music/alice/tom-waits/critic-reviews,49 Ratings,https://www.metacritic.com/music/alice/tom-waits/user-reviews,https://www.metacritic.com/music/alice/tom-waits/details,
66,Funeral,Arcade Fire,90,8.9,"September 14, 2004",The Montreal band founded by husband and wife Win Butler and Régine Chassagne make their full-length debut with this highly anticipated disc.,https://www.metacritic.com/music/funeral/arcade-fire,https://www.metacritic.com/person/arcade-fire,Merge / Rough Trade,['https://www.metacritic.com/company/merge-rough-trade'],Merge / Rough Trade,"Genre(s): 
Indie
Rock",33,https://www.metacritic.com/music/funeral/arcade-fire/critic-reviews,1033 Ratings,https://www.metacritic.com/music/funeral/arcade-fire/user-reviews,https://www.metacritic.com/music/funeral/arcade-fire/details,
67,Holy Hell,Architects,90,8.9,"November 9, 2018","The eighth full-length release for the British metalcore band is its first without Tom Searle, who passed away in August 2016.",https://www.metacritic.com/music/holy-hell/architects,https://www.metacritic.com/person/architects,Epitaph,['https://www.metacritic.com/company/epitaph'],Epitaph,"Genre(s): 
Metal
Pop/Rock
Metalcore",8,https://www.metacritic.com/music/holy-hell/architects/critic-reviews,128 Ratings,https://www.metacritic.com/music/holy-hell/architects/user-reviews,https://www.metacritic.com/music/holy-hell/architects/details,https://www.amazon.com/Holy-Hell-Architects-UK/dp/B07HGR7GXF?SubscriptionId=AKIAJHSMUOWEQCQ7QDAQ&tag=metacritic-music-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07HGR7GXF
68,London Zoo,The Bug,90,6.5,"August 12, 2008",The third album for the artist/music producer Kevin Martin as The Bug.,https://www.metacritic.com/music/london-zoo/the-bug,https://www.metacritic.com/person/the-bug,Ninja Tune,['https://www.metacritic.com/company/ninja-tune'],Ninja Tune,"Genre(s): 
Electronic",10,https://www.metacritic.com/music/london-zoo/the-bug/critic-reviews,83 Ratings,https://www.metacritic.com/music/london-zoo/the-bug/user-reviews,https://www.metacritic.com/music/london-zoo/the-bug/details,
69,Jama Ko,Bassekou Kouyate & Ngoni Ba,90,6.3,"April 2, 2013",The third release for Bassekou Kouyate introduces a new group of ngoni players and was co-produced with Howard Bilerman.,https://www.metacritic.com/music/jama-ko/bassekou-kouyate-ngoni-ba,https://www.metacritic.com/person/bassekou-kouyate-ngoni-ba,Out Here Records,['https://www.metacritic.com/company/out-here-records'],Out Here Records,"Genre(s): 
International",11,https://www.metacritic.com/music/jama-ko/bassekou-kouyate-ngoni-ba/critic-reviews,26 Ratings,https://www.metacritic.com/music/jama-ko/bassekou-kouyate-ngoni-ba/user-reviews,https://www.metacritic.com/music/jama-ko/bassekou-kouyate-ngoni-ba/details,
